,Anson County,Asheville Regional,Douglas Municipal,Pine Island,Elizabeth,Northeastern Regional,Craven County Regional,Fayetteville Regional/Grannis Field,Simmons AFB,Seymour Johnson AFB,Piedmont Triad International,Mackall AAF,Hickory Regional,Billy Mitchell,Horace Williams,Wilkes County,Wilmington International,Smith Reynolds,Kinston Regional Jetport at Stallings Field,Concord Regional,Lumberton Municipal,Dare County Regional,Beaufort/Morehead,Morganton Lenoir,Laurinburg-Maxton,Gastonia Municipal,Johnston County,Shelby Municipal,Currituck County Regional,Duplin County,Cherry Point MCAS,Albert J Ellis,Warren Field,Pitt Greenville,Pope AFB,Raleigh-Durham International,Lincoln County,Rocky Mount-Wilson Regional,Halifax County,Moore County,Rowan County,Statesville Municipal,Person County,Stanly County,Henderson Oxford,Michael J. Smith Field,Clinton Sampson County,Burlington Alamance Regional,Richmond County,Charlotte Monroe Executive,Macon County,Raleigh Exec Jetport at Sanford Lee County,Columbus County Municipal,Siler City Municipal,Tri County,Cape Fear Regional Jetport Howie Franklin,Asheboro Regional,Hendersonville Airport,Western Carolina Regional
Anson County,0.0,141.7,50.14,255.55,235.44,209.3,171.92,68.01,65.25,121.77,74.21,33.03,88.8,252.42,85.02,100.62,134.37,77.22,140.76,43.38,64.69,254.39,194.93,102.95,43.59,61.63,101.85,87.33,247.04,118.83,181.38,140.54,174.99,157.7,61.15,93.86,68.69,136.02,165.11,41.82,49.58,70.93,106.71,27.42,127.0,194.92,97.17,78.58,20.39,30.59,189.16,67.4,93.41,57.16,185.57,137.05,44.82,134.26,214.06
Asheville Regional,141.7,0.0,91.71,382.31,361.1,337.37,311.2,208.9,204.45,258.11,152.58,173.94,68.04,390.22,198.06,97.44,275.01,138.51,277.48,103.19,205.14,385.58,335.95,58.76,184.86,80.07,233.62,54.42,371.06,259.09,321.73,281.63,308.92,290.18,199.67,213.21,77.75,262.7,279.03,178.19,114.54,91.93,207.64,134.58,233.48,335.94,237.85,177.09,161.53,112.09,51.68,193.72,231.3,171.68,306.5,274.26,149.54,10.71,76.35
Douglas Municipal,50.14,91.71,0.0,297.35,276.57,251.49,220.18,117.25,113.16,168.05,82.12,82.24,44.17,299.92,116.14,69.94,184.27,74.8,187.37,17.15,114.4,298.42,244.35,57.15,93.62,12.13,145.11,37.61,287.42,167.65,230.33,189.98,220.13,201.93,108.52,129.29,22.24,176.75,199.42,87.32,37.63,37.6,131.9,46.31,156.28,244.34,146.27,100.07,70.27,22.56,140.22,106.32,142.03,87.26,223.84,185.58,65.87,84.69,165.26
Pine Island,255.55,382.31,297.35,0.0,21.42,46.27,107.69,194.29,192.8,137.08,231.95,224.58,315.07,71.25,184.28,295.87,181.86,247.52,120.81,282.12,216.19,23.68,115.85,326.84,225.08,309.29,153.71,333.05,16.17,150.55,111.72,142.02,85.0,99.05,195.82,169.21,305.42,120.6,107.67,213.73,267.94,290.72,178.02,251.07,152.77,115.89,169.56,206.14,242.18,284.49,433.76,191.07,214.41,211.17,77.05,205.98,233.34,378.05,458.64
Elizabeth,235.44,361.1,276.57,21.42,0.0,27.27,95.35,175.46,173.44,118.59,210.55,204.88,293.77,77.48,163.04,274.45,168.76,226.1,103.42,261.21,198.32,35.55,108.87,305.49,206.19,288.48,133.65,312.08,13.02,133.73,101.84,127.62,68.46,80.42,176.25,148.1,284.32,99.93,86.4,193.64,246.79,269.44,156.6,230.26,131.37,108.91,151.78,184.77,222.59,264.11,412.58,170.38,198.48,190.14,55.64,193.43,212.28,356.92,437.43
Northeastern Regional,209.3,337.37,251.49,46.27,27.27,0.0,71.14,148.4,146.64,91.39,188.44,178.33,270.54,76.63,139.71,253.07,143.16,204.26,76.19,236.47,171.07,49.46,89.58,282.65,179.16,263.48,107.46,287.47,40.09,106.56,79.76,101.47,41.66,53.23,149.59,124.18,260.14,74.86,69.57,167.48,222.84,246.13,135.85,205.27,111.65,89.62,124.51,162.32,195.96,238.32,388.65,145.17,171.47,165.82,38.33,168.08,188.01,332.82,413.6
Craven County Regional,171.92,311.2,220.18,107.69,95.35,71.14,0.0,104.13,107.05,54.96,177.5,138.89,249.11,81.02,128.43,241.14,74.18,193.26,36.83,208.08,118.66,95.66,31.92,262.72,133.05,232.22,82.57,257.76,108.16,53.37,14.93,36.35,34.22,43.23,111.66,112.46,234.0,72.03,101.51,133.03,199.9,225.39,137.4,176.98,121.96,31.94,75.17,152.41,154.33,202.5,360.38,121.27,109.97,145.34,84.87,98.38,165.64,304.77,385.41
Fayetteville Regional/Grannis Field,68.01,208.9,117.25,194.29,175.46,148.4,104.13,0.0,10.19,57.28,96.7,35.08,150.58,184.93,66.03,150.87,74.74,109.38,75.04,106.83,28.14,190.34,127.1,164.7,30.8,129.12,46.96,154.82,187.84,50.87,113.37,72.74,110.63,95.25,14.54,61.32,133.11,81.62,119.68,33.4,102.92,128.48,89.57,77.52,96.71,127.09,29.16,80.34,50.29,98.58,257.08,42.7,50.53,60.51,131.74,86.5,73.27,201.89,282.02
Simmons AFB,65.25,204.45,113.16,192.8,173.44,146.64,107.05,10.19,0.0,56.87,87.2,32.5,144.45,187.24,55.97,142.9,83.68,100.29,75.61,101.64,36.65,190.09,131.75,158.46,33.89,125.19,41.72,150.76,185.57,54.68,117.28,77.76,110.39,93.92,5.24,52.08,127.83,77.1,113.49,26.65,96.09,121.79,79.72,71.35,87.96,131.74,33.98,70.23,49.54,95.72,253.35,32.51,60.66,50.89,127.59,96.4,65.0,197.81,278.37
Seymour Johnson AFB,121.77,258.11,168.05,137.08,118.59,91.39,54.96,57.28,56.87,0.0,122.77,89.33,194.81,132.11,74.48,186.18,74.19,138.43,19.37,154.96,79.98,133.31,84.6,208.26,88.07,180.17,27.92,205.38,131.15,23.5,68.03,40.33,53.56,38.17,60.64,59.17,180.51,35.78,77.27,80.89,145.57,170.89,86.94,123.53,77.47,84.6,34.06,98.11,106.33,151.97,308.03,66.39,85.26,90.41,79.59,97.56,110.98,252.15,333.11
